,Unnamed: 0,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
902,902,10,23,0,1,20184889,어벤져스: 엔드게임,2019-04-24,9360000,2.7,9360000,100.0,9360000,624,624,100.0,624,1,1,2019-04-23,N,F
920,920,1,1,9,0,20184889,어벤져스: 엔드게임,2019-04-24,9679020600,99.2,9669660600,103308.3,9688380600,1338732,1338108,214440.4,1339356,2760,12544,2019-04-24,N,F
960,960,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,7149620550,98.8,-2529400050,-26.1,16838001150,832263,-506469,-37.8,2171619,2759,12339,2019-04-25,N,F
1000,1000,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,9735827020,98.9,2586206470,36.2,26573828170,1046691,214428,25.8,3218310,2796,12831,2019-04-26,N,F
1040,1040,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,14970007600,99.1,5234180580,53.8,41543835770,1662469,615778,58.8,4880779,2835,13397,2019-04-27,N,F
1080,1080,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,12812539680,99.1,-2157467920,-14.4,54356375450,1427357,-235112,-14.1,6308136,2833,13055,2019-04-28,N,F
1120,1120,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,4099535220,98.1,-8713004460,-68.0,58455910670,471789,-955568,-66.9,6779925,2794,12415,2019-04-29,N,F
1160,1160,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,4742333860,98.0,642798640,15.7,63198244530,551321,79532,16.9,7331246,2802,12584,2019-04-30,N,F
1200,1200,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,7425056550,97.7,2682722690,56.6,70623301080,911374,360053,65.3,8242620,2508,11104,2019-05-01,N,F
1240,1240,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,3212777990,97.1,-4212278560,-56.7,73836079070,376829,-534545,-58.7,8619449,2458,10630,2019-05-02,N,F
1280,1280,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,5164258910,98.2,1951480920,60.7,79000337980,567072,190243,50.5,9186521,2490,11045,2019-05-03,N,F
1320,1320,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,8137718240,93.5,2973459330,57.6,87138056220,899930,332858,58.7,10086451,2443,10624,2019-05-04,N,F
1360,1360,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,7892456930,92.3,-245261310,-3.0,95030513150,866054,-33876,-3.8,10952505,2430,10486,2019-05-05,N,F
1400,1400,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,5723094700,89.3,-2169362230,-27.5,100753607850,639362,-226692,-26.2,11591867,2384,9958,2019-05-06,N,F
1440,1440,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,1450113710,96.4,-4272980990,-74.7,102203721560,164350,-475012,-74.3,11756217,2320,9295,2019-05-07,N,F
1480,1480,1,1,0,0,20184889,어벤져스: 엔드게임,2019-04-24,1085248000,93.3,-364865710,-25.2,103288969560,120164,-44186,-26.9,11876381,2167,8662,2019-05-08,N,F
